2019.06.16 18:02:22.368 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:22.520 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:23.368 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:23.521 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:24.370 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:24.521 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:25.371 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:25.522 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:26.372 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:26.523 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:27.373 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:27.524 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:28.373 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:28.525 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:29.374 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:29.525 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:30.034 INFO  Server.Server - Stopping server...
2019.06.16 18:02:30.035 INFO  Server.Server - Stopping server...
2019.06.16 18:02:30.375 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:02:30.526 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:22:54.185 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5400]!
2019.06.16 18:22:54.185 INFO  Server.Server - Server starter at ServerSocket[addr=0.0.0.0/0.0.0.0,localport=5401]!
2019.06.16 18:22:54.187 INFO  Server.Server - Server's  strategy: ServerStrategySolveSearchProblem
2019.06.16 18:22:54.187 INFO  Server.Server - Server's  strategy: ServerStrategyGenerateMaze
2019.06.16 18:22:54.188 INFO  Server.Server - Server is waiting for clients
2019.06.16 18:22:54.188 INFO  Server.Server - Server is waiting for clients
2019.06.16 18:22:55.194 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:22:55.194 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:22:56.195 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:22:56.196 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:22:57.197 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:22:57.198 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:22:58.199 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:22:58.200 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:22:59.201 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:22:59.203 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:23:00.203 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:23:00.204 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:23:01.206 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:23:01.206 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:23:02.208 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:23:02.209 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:23:03.208 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:23:03.209 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:23:04.208 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:23:04.210 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:23:05.208 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:23:05.210 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:23:06.209 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:23:06.210 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:23:07.209 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:23:07.210 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:23:08.209 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:23:08.211 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:23:09.209 DEBUG Server.Server - Socket timeout - no clients pending!
2019.06.16 18:23:09.212 DEBUG Server.Server - Socket timeout - no clients pending!
